total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,seed,case,family,param_value
1569,1569,1569,0,0,0.0,15.69,0.0,0.0,1.0,10.195,0.6497769279796047,1.0,17.738465182628715,34.15514560397568,50.323679974544184,"{0: 0.0, 1: 0.0}",1.0,15,44,utility_latency_penalty=2.0,utility_latency_penalty,2.0
1954,1954,1950,0,4,0.0,19.5,0.13817809621289662,0.13817809621289662,0.9979529170931423,15.207,0.779846153846154,0.14687819856704196,89.29567089119155,322.0962636681563,361.9610137309969,"{0: 0.12526315789473685, 1: 0.150398406374502}",0.9997875635289379,20,42,utility_latency_penalty=0.0,utility_latency_penalty,0.0
2084,2084,2076,0,8,0.0,20.76,0.17226487523992323,0.17226487523992323,0.9961612284069098,16.113,0.7761560693641619,0.16698656429942418,94.44970788494902,324.87699568746575,372.968687526512,"{0: 0.1503531786074672, 1: 0.19213174748398903}",0.9993650839337738,20,43,utility_latency_penalty=0.0,utility_latency_penalty,0.0
2075,2075,2075,0,0,0.0,20.75,0.16240963855421686,0.16240963855421686,1.0,16.04,0.7730120481927711,0.19614457831325302,91.6845282168506,328.7372371463396,370.76675256361574,"{0: 0.13082259663032705, 1: 0.19230769230769232}",0.998657366201333,20,44,utility_latency_penalty=0.0,utility_latency_penalty,0.0
1954,1954,1950,0,4,0.0,19.5,0.13817809621289662,0.13817809621289662,0.9979529170931423,15.207,0.779846153846154,0.14687819856704196,89.29567089119155,322.0962636681563,361.9610137309969,"{0: 0.12526315789473685, 1: 0.150398406374502}",0.9997875635289379,20,42,utility_latency_penalty=0.12,utility_latency_penalty,0.12
2084,2084,2076,0,8,0.0,20.76,0.17226487523992323,0.17226487523992323,0.9961612284069098,16.113,0.7761560693641619,0.16698656429942418,94.44970788494902,324.87699568746575,372.968687526512,"{0: 0.1503531786074672, 1: 0.19213174748398903}",0.9993650839337738,20,43,utility_latency_penalty=0.12,utility_latency_penalty,0.12
2075,2075,2075,0,0,0.0,20.75,0.16240963855421686,0.16240963855421686,1.0,16.04,0.7730120481927711,0.19614457831325302,91.6845282168506,328.7372371463396,370.76675256361574,"{0: 0.13082259663032705, 1: 0.19230769230769232}",0.998657366201333,20,44,utility_latency_penalty=0.12,utility_latency_penalty,0.12
1954,1954,1951,0,3,0.0,19.51,0.009211873080859774,0.009211873080859774,0.9984646878198568,14.65,0.7508969759097899,0.4887410440122825,51.65785463580687,196.9540227205107,275.45557204902434,"{0: 0.007368421052631579, 1: 0.010956175298804782}",0.999996722226704,20,42,utility_latency_penalty=0.5,utility_latency_penalty,0.5
2084,2084,2079,0,5,0.0,20.79,0.014395393474088292,0.014395393474088292,0.9976007677543186,15.629000000000001,0.7517556517556518,0.47696737044145876,54.042054628487676,191.15246795750042,284.298918662254,"{0: 0.012108980827447022, 1: 0.01646843549862763}",0.9999951100687375,20,43,utility_latency_penalty=0.5,utility_latency_penalty,0.5
2075,2075,2075,0,0,0.0,20.75,0.01927710843373494,0.01927710843373494,1.0,15.571,0.7504096385542168,0.4906024096385542,55.06977939725766,238.09141077668735,306.91741118995077,"{0: 0.010901883052527254, 1: 0.027204502814258912}",0.9999309547344271,20,44,utility_latency_penalty=0.5,utility_latency_penalty,0.5
