total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,workload,policy_name
1175,1175,1175,0,0,0.0,11.75,0.2093617021276596,0.2093617021276596,1.0,8.982000000000001,0.7644255319148936,0.25957446808510637,95.74667792229502,350.6867538396163,407.24735995576424,"{0: 0.14754098360655737, 1: 0.2761061946902655}",0.993392140547528,0.14754098360655737,0.2761061946902655,10,43,ON-OFF | Proposed,burstiness,ON-OFF,Proposed
1206,1206,1206,0,0,0.0,12.06,0.23134328358208955,0.23134328358208955,1.0,9.191,0.7621061359867329,0.2678275290215589,96.91918769006224,364.6874144344242,421.7604507707461,"{0: 0.14144736842105263, 1: 0.32274247491638797}",0.9862568238188683,0.14144736842105263,0.32274247491638797,10,44,ON-OFF | Proposed,burstiness,ON-OFF,Proposed
1468,1468,1467,0,1,0.0,14.67,0.11989100817438691,0.11989100817438691,0.9993188010899182,11.736,0.7999999999999999,0.0,76.48143466243346,269.2064380504468,340.0463538655276,"{0: 0.175561797752809, 1: 0.06746031746031746}",0.9962287115932723,0.175561797752809,0.06746031746031746,15,42,Poisson | EDF + Fixed,burstiness,Poisson,EDF + Fixed
1576,1576,1576,0,0,0.0,15.76,0.19733502538071065,0.19733502538071065,1.0,12.608000000000002,0.8000000000000002,0.0,85.45190727027148,345.2507950540057,481.1590123649439,"{0: 0.2718832891246684, 1: 0.12895377128953772}",0.992074933758202,0.2718832891246684,0.12895377128953772,15,43,Poisson | EDF + Fixed,burstiness,Poisson,EDF + Fixed
1569,1569,1569,0,0,0.0,15.69,0.24537922243467178,0.24537922243467178,1.0,12.552,0.8,0.0,91.74312453676248,371.65160874539794,491.95335169815905,"{0: 0.30456852791878175, 1: 0.1856594110115237}",0.9938351587787395,0.30456852791878175,0.1856594110115237,15,44,Poisson | EDF + Fixed,burstiness,Poisson,EDF + Fixed
1468,1468,1467,0,1,0.0,14.67,0.07425068119891008,0.07425068119891008,0.9993188010899182,11.582,0.7895023858214041,0.052452316076294275,71.90206583809413,200.98005036269168,276.9245552167909,"{0: 0.14185393258426968, 1: 0.010582010582010581}",0.9949770628097221,0.14185393258426968,0.010582010582010581,15,42,Poisson | EDF + Threshold Downgrade,burstiness,Poisson,EDF + Threshold Downgrade
1576,1576,1576,0,0,0.0,15.76,0.09200507614213198,0.09200507614213198,1.0,12.394,0.7864213197969544,0.06789340101522842,75.5006499412932,212.90568590813928,296.45523335806865,"{0: 0.17374005305039789, 1: 0.0170316301703163}",0.9925535058161592,0.17374005305039789,0.0170316301703163,15,43,Poisson | EDF + Threshold Downgrade,burstiness,Poisson,EDF + Threshold Downgrade
1569,1569,1569,0,0,0.0,15.69,0.09878903760356915,0.09878903760356915,1.0,12.296000000000001,0.7836838750796685,0.0815806246016571,76.74411190090905,231.81363294738298,298.4782302501509,"{0: 0.17639593908629442, 1: 0.020486555697823303}",0.9925790152722457,0.17639593908629442,0.020486555697823303,15,44,Poisson | EDF + Threshold Downgrade,burstiness,Poisson,EDF + Threshold Downgrade
1468,1468,1467,0,1,0.0,14.67,0.030653950953678476,0.030653950953678476,0.9993188010899182,11.633,0.7929788684389911,0.06198910081743869,70.37967891674634,216.3554781304425,299.534807960692,"{0: 0.04073033707865169, 1: 0.021164021164021163}",0.9998980894912554,0.04073033707865169,0.021164021164021163,15,42,Poisson | Proposed,burstiness,Poisson,Proposed
1576,1576,1576,0,0,0.0,15.76,0.061548223350253804,0.061548223350253804,1.0,12.458,0.7904822335025382,0.07614213197969544,75.22532152953227,263.17332311352493,340.0920838384418,"{0: 0.07294429708222812, 1: 0.051094890510948905}",0.9998643646606163,0.07294429708222812,0.051094890510948905,15,43,Poisson | Proposed,burstiness,Poisson,Proposed
