total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,policy_name
1066,1066,1066,0,0,0.0,10.66,0.0150093808630394,0.0150093808630394,1.0,8.49,0.7964352720450282,0.0300187617260788,57.22284748342645,145.8813089643154,226.26512827484444,"{0: 0.029182879377431907, 1: 0.0018115942028985507}",0.999806797565767,0.029182879377431907,0.0018115942028985507,10,43,Proposed: Feasible Utility,ablation,Proposed
1036,1036,1036,0,0,0.0,10.36,0.02027027027027027,0.02027027027027027,1.0,8.249,0.7962355212355213,0.032818532818532815,58.12556107538694,144.5109589619101,233.69642801364586,"{0: 0.02895752895752896, 1: 0.011583011583011582}",0.9999213825795444,0.02895752895752896,0.011583011583011582,10,44,Proposed: Feasible Utility,ablation,Proposed
973,972,972,1,0,0.0010277492291880781,9.72,0.009249743062692703,0.00823045267489712,1.0,7.756,0.7979423868312757,0.0205761316872428,54.702667218052056,131.24254082577752,177.7386084092076,"{0: 0.017167381974248927, 1: 0.0019723865877712033}",0.9999411606420987,0.017167381974248927,0.0019723865877712033,10,42,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
1066,1065,1065,1,0,0.0009380863039399625,10.65,0.010318949343339587,0.009389671361502348,1.0,8.486,0.7968075117370892,0.02910798122065728,57.12069590140891,146.44622092152852,223.51247050240315,"{0: 0.019455252918287938, 1: 0.0018115942028985507}",0.9999204997839873,0.019455252918287938,0.0018115942028985507,10,43,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
1036,1035,1035,1,0,0.0009652509652509653,10.35,0.0222007722007722,0.021256038647342997,1.0,8.234000000000002,0.7955555555555557,0.035748792270531404,58.21373286007292,143.96472185316452,235.5809819518472,"{0: 0.032818532818532815, 1: 0.011583011583011582}",0.9998820996014772,0.032818532818532815,0.011583011583011582,10,44,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
1468,1385,1384,83,1,0.05653950953678474,13.84,0.0776566757493188,0.022382671480144403,0.9992779783393502,11.072000000000001,0.7999999999999998,0.0,66.00955596249423,203.45315231645478,288.2082437934079,"{0: 0.14606741573033707, 1: 0.013227513227513227}",0.9948187726328819,0.14606741573033707,0.013227513227513227,15,42,Admission Only + Fixed Model,ablation,Admission Only + Fixed
1576,1467,1467,109,0,0.06916243654822335,14.67,0.09390862944162437,0.026584867075664622,1.0,11.736,0.7999999999999999,0.0,71.12013702975673,235.76534185249267,312.23159653196853,"{0: 0.16710875331564987, 1: 0.0267639902676399}",0.9939982026279817,0.16710875331564987,0.0267639902676399,15,43,Admission Only + Fixed Model,ablation,Admission Only + Fixed
1569,1449,1449,120,0,0.07648183556405354,14.49,0.09751434034416825,0.022774327122153208,1.0,11.592,0.8,0.0,69.52439106432575,241.7515879161923,296.23500479959415,"{0: 0.17385786802030456, 1: 0.020486555697823303}",0.9928369763724945,0.17385786802030456,0.020486555697823303,15,44,Admission Only + Fixed Model,ablation,Admission Only + Fixed
1468,1468,1467,0,1,0.0,14.67,0.07425068119891008,0.07425068119891008,0.9993188010899182,11.582,0.7895023858214041,0.052452316076294275,71.90206583809413,200.98005036269168,276.9245552167909,"{0: 0.14185393258426968, 1: 0.010582010582010581}",0.9949770628097221,0.14185393258426968,0.010582010582010581,15,42,Threshold Downgrade,ablation,Threshold Downgrade
1576,1576,1576,0,0,0.0,15.76,0.09200507614213198,0.09200507614213198,1.0,12.394,0.7864213197969544,0.06789340101522842,75.5006499412932,212.90568590813928,296.45523335806865,"{0: 0.17374005305039789, 1: 0.0170316301703163}",0.9925535058161592,0.17374005305039789,0.0170316301703163,15,43,Threshold Downgrade,ablation,Threshold Downgrade
