total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,seed,case,family,param_value
1569,1569,1569,0,0,0.0,15.69,0.11344805608667942,0.11344805608667942,1.0,12.39,0.7896749521988528,0.05162523900573614,80.86640353752591,260.5940485624251,323.6855381163817,"{0: 0.1865482233502538, 1: 0.03969270166453265}",0.9931919226889956,15,44,threshold_wait_ms=200.0,threshold_wait_ms,200.0
1954,1954,1950,0,4,0.0,19.5,0.07983623336745138,0.07983623336745138,0.9979529170931423,14.772,0.7575384615384616,0.2128966223132037,81.27497824212696,218.48317626108323,286.62858257446226,"{0: 0.15263157894736842, 1: 0.010956175298804782}",0.9940834112461377,20,42,threshold_wait_ms=80.0,threshold_wait_ms,80.0
2084,2084,2077,0,7,0.0,20.77,0.09309021113243762,0.09309021113243762,0.996641074856046,15.687999999999999,0.7553201733269139,0.22504798464491363,86.79431096957705,217.35125758096467,289.19545904612636,"{0: 0.17759838546922302, 1: 0.01646843549862763}",0.992102209536054,20,43,threshold_wait_ms=80.0,threshold_wait_ms,80.0
2075,2075,2075,0,0,0.0,20.75,0.0983132530120482,0.0983132530120482,1.0,15.61,0.752289156626506,0.2385542168674699,85.41972065873415,220.9297145992911,282.7752772074104,"{0: 0.19028741328047571, 1: 0.01125703564727955}",0.9901876832749297,20,44,threshold_wait_ms=80.0,threshold_wait_ms,80.0
1954,1954,1950,0,4,0.0,19.5,0.10184237461617196,0.10184237461617196,0.9979529170931423,14.904000000000002,0.7643076923076924,0.17860798362333674,85.0346089350096,244.11307353754273,303.2258244905289,"{0: 0.18526315789473685, 1: 0.022908366533864542}",0.991856963185579,20,42,threshold_wait_ms=120.0,threshold_wait_ms,120.0
2084,2084,2077,0,7,0.0,20.77,0.11948176583493282,0.11948176583493282,0.996641074856046,15.852,0.7632161771786231,0.1847408829174664,92.46678294656158,254.69107391830752,321.38838345582303,"{0: 0.20686175580222, 1: 0.04025617566331199}",0.9910470131491176,20,43,threshold_wait_ms=120.0,threshold_wait_ms,120.0
2075,2075,2075,0,0,0.0,20.75,0.12385542168674699,0.12385542168674699,1.0,15.772,0.7600963855421689,0.19951807228915663,92.40083050089015,249.43075499624828,312.77408918373146,"{0: 0.22695738354806738, 1: 0.02626641651031895}",0.9869717571733257,20,44,threshold_wait_ms=120.0,threshold_wait_ms,120.0
1954,1954,1950,0,4,0.0,19.5,0.11156601842374617,0.11156601842374617,0.9979529170931423,14.988,0.7686153846153847,0.15660184237461616,88.1946011234204,265.83077041100876,318.9909890912553,"{0: 0.1936842105263158, 1: 0.03386454183266932}",0.9919351713498878,20,42,threshold_wait_ms=160.0,threshold_wait_ms,160.0
2084,2084,2077,0,7,0.0,20.77,0.13723608445297505,0.13723608445297505,0.996641074856046,15.948000000000002,0.7678382282137699,0.1626679462571977,95.64829284780717,275.9527139568788,333.1071589440325,"{0: 0.2199798183652876, 1: 0.06221408966148216}",0.991635707435571,20,43,threshold_wait_ms=160.0,threshold_wait_ms,160.0
2075,2075,2075,0,0,0.0,20.75,0.14506024096385542,0.14506024096385542,1.0,15.86,0.7643373493975903,0.1783132530120482,96.16096386326535,271.1720635483223,330.9759961221141,"{0: 0.24380574826560952, 1: 0.051594746716697934}",0.9874447726176421,20,44,threshold_wait_ms=160.0,threshold_wait_ms,160.0
1954,1954,1950,0,4,0.0,19.5,0.12589559877175024,0.12589559877175024,0.9979529170931423,15.032,0.770871794871795,0.14534288638689866,89.65786544164439,275.44310933295856,322.8014226105905,"{0: 0.2094736842105263, 1: 0.046812749003984064}",0.9913731275029035,20,42,threshold_wait_ms=200.0,threshold_wait_ms,200.0
2084,2084,2076,0,8,0.0,20.76,0.14299424184261036,0.14299424184261036,0.9961612284069098,15.978000000000002,0.7696531791907515,0.15355086372360843,97.54750518784749,280.2606231181617,339.4260874751144,"{0: 0.22805247225025227, 1: 0.06587374199451052}",0.9910445921820562,20,43,threshold_wait_ms=200.0,threshold_wait_ms,200.0
