total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,scenario,policy_name
2501,2501,2499,0,2,0.0,24.99,0.13714514194322272,0.13714514194322272,0.9992003198720512,18.366,0.7349339735894357,0.32506997201119553,99.1552378995475,269.4683015812772,324.79161282472046,"{0: 0.22950819672131148, 1: 0.04918032786885246}",0.9891440875650458,0.22950819672131148,0.04918032786885246,25,42,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
2574,2574,2569,0,5,0.0,25.69,0.1351981351981352,0.1351981351981352,0.9980574980574981,18.89,0.7353055663682366,0.3243978243978244,101.82327134477964,271.2518388251599,322.79041513588356,"{0: 0.23434991974317818, 1: 0.04216867469879518}",0.9877187632146108,0.23434991974317818,0.04216867469879518,25,43,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
2581,2581,2576,0,5,0.0,25.76,0.1557535838822162,0.1557535838822162,0.9980627663696242,18.918,0.7343944099378881,0.3277799302595893,105.75200513167329,272.23349965680245,330.9588451963118,"{0: 0.27169505271695055, 1: 0.04970326409495549}",0.9828110813255657,0.27169505271695055,0.04970326409495549,25,44,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
2501,2501,2499,0,2,0.0,24.99,0.3358656537385046,0.3358656537385046,0.9992003198720512,18.839000000000002,0.753861544617847,0.3006797281087565,118.94835024925669,353.66475716330825,391.8044827201608,"{0: 0.2713114754098361, 1: 0.39734582357533177}",0.9911177423521634,0.2713114754098361,0.39734582357533177,25,42,Balanced | Proposed,heterogeneity,Balanced,Proposed
2574,2574,2566,0,8,0.0,25.66,0.3356643356643357,0.3356643356643357,0.9968919968919969,19.322,0.7530007794232267,0.31546231546231546,123.90674089835011,351.15356563452383,390.7411713639867,"{0: 0.2640449438202247, 1: 0.40286144578313254}",0.9892730299400367,0.2640449438202247,0.40286144578313254,25,43,Balanced | Proposed,heterogeneity,Balanced,Proposed
2581,2581,2576,0,5,0.0,25.76,0.35490120108485085,0.35490120108485085,0.9980627663696242,19.365,0.7517468944099378,0.32739248353351413,125.1891677966778,358.45506663359527,393.54409166785354,"{0: 0.2725060827250608, 1: 0.43026706231454004}",0.9854255840363242,0.2725060827250608,0.43026706231454004,25,44,Balanced | Proposed,heterogeneity,Balanced,Proposed
2501,2501,2499,0,2,0.0,24.99,0.43502598960415834,0.43502598960415834,0.9992003198720512,18.386000000000003,0.7357342937174869,0.3210715713714514,100.82749127299758,309.5664760013976,391.2710865875929,"{0: 0.578827546955037, 1: 0.09543010752688172}",0.8826509858986051,0.578827546955037,0.09543010752688172,25,42,Strict-Heavy | Threshold,heterogeneity,Strict-Heavy,Threshold Downgrade
2574,2574,2566,0,8,0.0,25.66,0.4417249417249417,0.4417249417249417,0.9968919968919969,18.912,0.7370226032735775,0.31662781662781664,100.11381156198331,322.98529510284425,393.97750547634377,"{0: 0.5785674625208218, 1: 0.12289780077619664}",0.8903623153499225,0.5785674625208218,0.12289780077619664,25,43,Strict-Heavy | Threshold,heterogeneity,Strict-Heavy,Threshold Downgrade
2581,2581,2576,0,5,0.0,25.76,0.45563734986439364,0.45563734986439364,0.9980627663696242,18.924,0.7346273291925465,0.327005036807439,105.24813431590519,322.6844805910805,396.3685426551274,"{0: 0.6082589285714286, 1: 0.10899873257287707}",0.8684423727611147,0.6082589285714286,0.10899873257287707,25,44,Strict-Heavy | Threshold,heterogeneity,Strict-Heavy,Threshold Downgrade
2501,2501,2499,0,2,0.0,24.99,0.16593362654938024,0.16593362654938024,0.9992003198720512,18.681,0.7475390156062425,0.398640543782487,71.36009727276542,346.03783586660865,408.8036982007391,"{0: 0.16903813318155947, 1: 0.1586021505376344}",0.9999610604983326,0.16903813318155947,0.1586021505376344,25,42,Strict-Heavy | Proposed,heterogeneity,Strict-Heavy,Proposed
2574,2574,2570,0,4,0.0,25.7,0.16938616938616938,0.16938616938616938,0.9984459984459985,19.202,0.7471595330739299,0.40675990675990675,71.72132222807886,344.8777077071368,402.3674073168685,"{0: 0.17323709050527486, 1: 0.16041397153945666}",0.9999407852735398,0.17323709050527486,0.16041397153945666,25,43,Strict-Heavy | Proposed,heterogeneity,Strict-Heavy,Proposed
2581,2581,2578,0,3,0.0,25.78,0.18132506780317706,0.18132506780317706,0.9988376598217745,19.172,0.7436772692009309,0.41960480433940334,72.09473828984846,356.68770468935116,406.1085143081423,"{0: 0.17801339285714285, 1: 0.1888466413181242}",0.999956000120761,0.17801339285714285,0.1888466413181242,25,44,Strict-Heavy | Proposed,heterogeneity,Strict-Heavy,Proposed
2988,2988,2983,0,5,0.0,29.83,0.13788487282463185,0.13788487282463185,0.9983266398929049,21.274,0.7131746563861883,0.4347389558232932,105.62970000818314,269.8150115722321,317.72619906976905,"{0: 0.23877551020408164, 1: 0.04018445322793149}",0.9868600713993371,0.23877551020408164,0.04018445322793149,30,42,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
3049,3049,3041,0,8,0.0,30.41,0.13611020006559527,0.13611020006559527,0.9973761889143982,21.638,0.7115422558368957,0.4434240734667104,107.39509386462305,268.6948189705654,318.84018359828616,"{0: 0.23128792987188132, 1: 0.04597701149425287}",0.9885615091393729,0.23128792987188132,0.04597701149425287,30,43,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
3102,3102,3098,0,4,0.0,30.98,0.15635074145712444,0.15635074145712444,0.9987105093488072,21.912,0.7072950290510006,0.46421663442940037,110.47871837906132,270.48049820824764,319.6228679816454,"{0: 0.2777027027027027, 1: 0.04562268803945746}",0.9812009513494999,0.2777027027027027,0.04562268803945746,30,44,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
