total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,policy,seed
973,973,973,0,0,0.0,9.73,0.024665981500513873,0.024665981500513873,1.0,7.77,0.7985611510791368,0.007194244604316547,54.602303809297155,139.9383424813655,194.32114883721627,"{0: 0.04935622317596566, 1: 0.0019723865877712033}",0.9994090829543567,10,EDF + Threshold Downgrade,42
1066,1066,1066,0,0,0.0,10.66,0.04221388367729831,0.04221388367729831,1.0,8.506,0.797936210131332,0.010318949343339587,58.214470651907504,150.93864004387024,227.01426837384335,"{0: 0.08560311284046693, 1: 0.0018115942028985507}",0.9980843078172946,10,EDF + Threshold Downgrade,43
1036,1036,1036,0,0,0.0,10.36,0.04054054054054054,0.04054054054054054,1.0,8.262,0.7974903474903475,0.012548262548262547,58.61360577405139,150.73756851557783,233.69642801364586,"{0: 0.07528957528957529, 1: 0.005791505791505791}",0.9986900251887131,10,EDF + Threshold Downgrade,44
973,955,955,18,0,0.018499486125385406,9.55,0.02774922918807811,0.009424083769633508,1.0,7.63,0.7989528795811519,0.005235602094240838,54.2121848538045,128.5702999157612,189.33530263577182,"{0: 0.055793991416309016, 1: 0.0019723865877712033}",0.9992326791848585,10,EDF + Threshold Downgrade + Admission,42
1066,1039,1039,27,0,0.025328330206378986,10.39,0.03189493433395872,0.006737247353224254,1.0,8.298,0.7986525505293552,0.006737247353224254,56.384407297708094,142.01727726576186,214.0865288596968,"{0: 0.06614785992217899, 1: 0.0}",0.9988313694409174,10,EDF + Threshold Downgrade + Admission,43
1036,1005,1005,31,0,0.029922779922779922,10.05,0.03571428571428571,0.005970149253731343,1.0,8.016,0.7976119402985076,0.011940298507462687,56.50585318627418,134.17819850775993,211.9466360345717,"{0: 0.07142857142857142, 1: 0.0}",0.9986301369863014,10,EDF + Threshold Downgrade + Admission,44
973,973,973,0,0,0.0,9.73,0.006166495375128468,0.006166495375128468,1.0,7.763000000000001,0.7978417266187051,0.020554984583761562,54.602303809297155,131.2639966438306,180.53360621855435,"{0: 0.01072961373390558, 1: 0.0019723865877712033}",0.9999805822544684,10,Proposed: EDF + Feasible Utility,42
1066,1066,1066,0,0,0.0,10.66,0.0150093808630394,0.0150093808630394,1.0,8.49,0.7964352720450282,0.0300187617260788,57.22284748342645,145.8813089643154,226.26512827484444,"{0: 0.029182879377431907, 1: 0.0018115942028985507}",0.999806797565767,10,Proposed: EDF + Feasible Utility,43
1036,1036,1036,0,0,0.0,10.36,0.02027027027027027,0.02027027027027027,1.0,8.249,0.7962355212355213,0.032818532818532815,58.12556107538694,144.5109589619101,233.69642801364586,"{0: 0.02895752895752896, 1: 0.011583011583011582}",0.9999213825795444,10,Proposed: EDF + Feasible Utility,44
973,972,972,1,0,0.0010277492291880781,9.72,0.009249743062692703,0.00823045267489712,1.0,7.756,0.7979423868312757,0.0205761316872428,54.702667218052056,131.24254082577752,177.7386084092076,"{0: 0.017167381974248927, 1: 0.0019723865877712033}",0.9999411606420987,10,Proposed: EDF + Feasible Utility + Admission,42
