arrival_rate,policy,total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,fairness_jain_index
10,EDF + Threshold Downgrade + Admission,1025.0,999.6666666666666,999.6666666666666,25.333333333333332,0.0,0.024583532084848106,9.996666666666668,0.03178614974544085,0.007377160125529702,1.0,55.70081511259559,134.921925229761,205.12282251001344,7.981333333333333,0.7984057901363383,0.00797104931830926,0.9988980618706925
10,FIFO + Fixed,1025.0,1025.0,1025.0,0.0,0.0,0.0,10.25,0.08437203094160454,0.08437203094160454,1.0,57.95679726250787,142.59132450785887,199.15710790554763,8.200000000000001,0.8000000000000002,0.0,0.9913832054600253
10,Proposed: EDF + Feasible Utility,1025.0,1025.0,1025.0,0.0,0.0,0.0,10.25,0.013815382169479381,0.013815382169479381,1.0,56.65023745603685,140.5520881900187,213.4983875023482,8.167333333333334,0.7968375066330848,0.027797426376124392,0.9999029207999266
10,Proposed: EDF + Feasible Utility + Admission,1025.0,1024.0,1024.0,1.0,0.0,0.0009770288327930019,10.24,0.013923154868934829,0.01295872089458082,1.0,56.679031993177965,140.55116120015686,212.27735362115266,8.158666666666667,0.7967684847079735,0.02847763505947716,0.9999145866758544
15,EDF + Admission Only + Fixed Model,1537.6666666666667,1433.6666666666667,1433.3333333333333,104.0,0.3333333333333333,0.06739459388302055,14.333333333333334,0.08969321517837048,0.02391395522598741,0.9997593261131167,68.88469468552557,226.99002736171326,298.89161504165685,11.466666666666669,0.7999999999999999,0.0,0.9938846505444526
15,EDF + Fixed,1537.6666666666667,1537.6666666666667,1537.3333333333333,0.0,0.3333333333333333,0.0,15.373333333333333,0.18753508532992313,0.18753508532992313,0.9997729336966393,84.55882215648914,328.7029472832835,437.7195726428768,12.298666666666668,0.8000000000000002,0.0,0.9940462680434047
15,EDF + Threshold Downgrade,1537.6666666666667,1537.6666666666667,1537.3333333333333,0.0,0.3333333333333333,0.0,15.373333333333333,0.08834826498153707,0.08834826498153707,0.9997729336966393,74.71560922676547,215.23312307273798,290.6193396083368,12.09066666666667,0.7865358602326756,0.06730878056439327,0.9933698612993757
15,EDF + Threshold Downgrade + Admission,1537.6666666666667,1448.0,1447.6666666666667,89.66666666666667,0.3333333333333333,0.05813809251458119,14.476666666666667,0.07486493847709648,0.017752964964672782,0.9997608799617407,67.65176436985469,192.51171919216267,273.32078994000955,11.472666666666667,0.7925431057217661,0.037278806666644716,0.9947840922284961
15,FIFO + Fixed,1537.6666666666667,1537.6666666666667,1537.3333333333333,0.0,0.3333333333333333,0.0,15.373333333333333,0.2471390331178245,0.2471390331178245,0.9997729336966393,96.00413435015177,279.93771848401053,380.711987850997,12.298666666666668,0.8000000000000002,0.0,0.9237183717445606
15,Proposed: EDF + Feasible Utility,1537.6666666666667,1537.6666666666667,1537.3333333333333,0.0,0.3333333333333333,0.0,15.373333333333333,0.05091676470849155,0.05091676470849155,0.9997729336966393,73.87107962720286,248.98552002062297,326.0671875793035,12.154000000000002,0.7906416972479837,0.07812362529396717,0.9999036584494747
