total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,seed,case,family,param_value
2501,2174,2171,327,3,0.13074770091963214,21.71,0.5005997600959616,0.4254829806807728,0.9986200551977921,16.719,0.7701059419622295,0.24333026678932843,136.09860998425393,373.6666230257024,419.9179959774834,"{0: 0.4737704918032787, 1: 0.5261514441842311}",0.9972641694579786,25,42,model_switch_overhead_ms=10,model_switch_overhead_ms,10.0
2574,2223,2217,351,6,0.13636363636363635,22.17,0.5240870240870241,0.4489428699955016,0.9973009446693657,17.062,0.7695985566080288,0.2501124606387764,167.29901074092777,370.5776969731625,397.516222295519,"{0: 0.507223113964687, 1: 0.5399096385542169}",0.9988246642339933,25,43,model_switch_overhead_ms=10,model_switch_overhead_ms,10.0
2581,2246,2240,335,6,0.12979465323518016,22.4,0.5327392483533514,0.4630454140694568,0.9973285841495992,17.187,0.7672767857142856,0.2769367764915405,171.2544108282018,381.3161247937946,409.0409270202763,"{0: 0.48742903487429035, 1: 0.5741839762611276}",0.9915252235084818,25,44,model_switch_overhead_ms=10,model_switch_overhead_ms,10.0
2501,2058,2055,443,3,0.17712914834066373,20.55,0.6449420231907237,0.5685131195335277,0.9985422740524781,15.758,0.7668126520681267,0.27648202137998057,182.76593171369313,408.32870727029075,445.41907772073,"{0: 0.660655737704918, 1: 0.629976580796253}",0.998133050884889,25,42,model_switch_overhead_ms=20,model_switch_overhead_ms,20.0
2574,2089,2082,485,7,0.18842268842268842,20.82,0.6705516705516705,0.5940641455241742,0.996649114408808,15.953,0.7662343900096062,0.2809956917185256,233.7498566603208,408.45574010772066,441.2969770761137,"{0: 0.6749598715890851, 1: 0.6664156626506024}",0.9998317345627359,25,43,model_switch_overhead_ms=20,model_switch_overhead_ms,20.0
2581,2111,2106,470,5,0.1820999612553274,21.06,0.6985664471135219,0.6314542870677404,0.9976314542870678,16.03,0.7611585944919278,0.3131217432496447,249.25087309858463,424.68339573656885,469.72503444677227,"{0: 0.6901865369018654, 1: 0.7062314540059347}",0.9992938522197664,25,44,model_switch_overhead_ms=20,model_switch_overhead_ms,20.0
2988,2546,2541,442,5,0.14792503346720215,25.41,0.4404283801874163,0.34328358208955223,0.9980361351139042,19.352,0.7615899252262888,0.30911233307148467,169.87480286051868,360.0298399061576,385.50465041182974,"{0: 0.3551020408163265, 1: 0.5230566534914362}",0.9780772922380879,30,42,model_switch_overhead_ms=0,model_switch_overhead_ms,0.0
3049,2566,2560,483,6,0.1584125942932109,25.6,0.4601508691374221,0.35853468433359315,0.9976617303195635,19.519000000000002,0.7624609375,0.3078721745908028,216.15439368875832,357.1933276976214,391.32694325544975,"{0: 0.3735670937289278, 1: 0.5421455938697318}",0.9763983345975153,30,43,model_switch_overhead_ms=0,model_switch_overhead_ms,0.0
3102,2648,2644,454,4,0.1463571889103804,26.44,0.4606705351386202,0.368202416918429,0.9984894259818731,20.006,0.7566565809379727,0.35196374622356497,212.33834956645296,360.2066713753558,399.6742756175424,"{0: 0.36824324324324326, 1: 0.5450061652281134}",0.974225973102039,30,44,model_switch_overhead_ms=0,model_switch_overhead_ms,0.0
2988,2460,2455,528,5,0.17670682730923695,24.55,0.5595716198125836,0.46504065040650405,0.9979674796747967,18.636000000000003,0.7591038696537677,0.33252032520325203,222.9788709090135,372.44623191543195,406.3521915341727,"{0: 0.4925170068027211, 1: 0.6245059288537549}",0.9781435947843068,30,42,model_switch_overhead_ms=5,model_switch_overhead_ms,5.0
